dataset_name,"('macro_f1', 'baseline')","('accuracy', 'baseline')","('macro_f1', 'aht_control_flow')","('accuracy', 'aht_control_flow')","('macro_f1', 'aht_control_flow_last')","('accuracy', 'aht_control_flow_last')","('macro_f1', 'aht_control_flow_last_count')","('accuracy', 'aht_control_flow_last_count')","('macro_f1', 'aht_control_flow_last_attr')","('accuracy', 'aht_control_flow_last_attr')","('macro_f1', 'aht_last')","('accuracy', 'aht_last')","('macro_f1', 'aht_last_trace_attr')","('accuracy', 'aht_last_trace_attr')","('macro_f1', 'aht_last_trace_attr_event_attr')","('accuracy', 'aht_last_trace_attr_event_attr')"
BPIC_12,0.608,0.826,0.332,0.659,0.291,0.623,0.312,0.637,0.298,0.628,0.181,0.374,0.454,0.721,0.404,0.652
BPIC_13_C,0.401,0.565,0.311,0.465,0.305,0.467,0.305,0.467,0.305,0.467,0.306,0.478,0.307,0.479,0.308,0.479
BPIC_13_I,0.270,0.634,0.372,0.650,0.359,0.636,0.359,0.636,0.359,0.636,0.311,0.523,0.305,0.511,0.305,0.511
BPIC_15_1,0.206,0.388,0.041,0.211,0.044,0.218,0.046,0.224,0.046,0.224,0.115,0.267,0.058,0.123,0.058,0.124
BPIC_18_C,0.460,0.809,0.475,0.838,0.475,0.838,0.475,0.838,0.475,0.838,0.459,0.806,0.472,0.832,0.472,0.832
BPIC_18_G,0.353,0.749,0.295,0.543,0.293,0.552,0.297,0.565,0.293,0.554,0.376,0.747,0.376,0.747,0.376,0.748
BPIC_18_P,0.347,0.636,0.339,0.562,0.331,0.511,0.331,0.511,0.331,0.511,0.308,0.559,0.108,0.392,0.108,0.392
BPIC_20_DD,0.443,0.865,0.375,0.869,0.375,0.828,0.375,0.828,0.375,0.828,0.408,0.886,0.393,0.860,0.388,0.860
BPIC_20_ID,0.396,0.793,0.316,0.693,0.233,0.522,0.259,0.611,0.123,0.253,0.387,0.754,0.386,0.754,0.387,0.755
BPIC_20_PTC,0.451,0.818,0.423,0.809,0.233,0.503,0.234,0.503,0.233,0.503,0.489,0.830,0.489,0.830,0.489,0.830
BPIC_20_RFP,0.384,0.870,0.304,0.850,0.297,0.830,0.295,0.830,0.298,0.830,0.349,0.850,0.368,0.848,0.368,0.848
BPIC_20_TPD,0.350,0.769,0.182,0.540,0.191,0.558,0.198,0.576,0.193,0.555,0.097,0.220,0.099,0.220,0.097,0.220
Helpdesk,0.231,0.765,0.212,0.782,0.231,0.801,0.231,0.801,0.231,0.801,0.278,0.815,0.277,0.815,0.275,0.815
Sepsis,0.375,0.573,0.317,0.444,0.409,0.531,0.409,0.531,0.409,0.530,0.325,0.510,0.331,0.512,0.330,0.511
Traffic_Fines,0.584,0.759,0.085,0.262,0.071,0.263,0.071,0.263,0.071,0.263,0.192,0.318,0.069,0.250,0.069,0.250
