dataset_name,"('macro_f1', 'no_drift')","('macro_f1', 'error_drift')","('macro_f1', 'control_flow_drift')","('accuracy', 'no_drift')","('accuracy', 'error_drift')","('accuracy', 'control_flow_drift')"
BPIC_12,0.604,0.610,0.615,0.843,0.836,0.843
BPIC_13_C,0.330,0.318,0.306,0.467,0.485,0.471
BPIC_13_I,0.406,0.419,0.275,0.670,0.666,0.590
BPIC_15_1,0.065,0.165,0.169,0.204,0.363,0.396
BPIC_18_C,0.288,0.434,0.423,0.596,0.747,0.745
BPIC_18_G,0.177,0.381,0.155,0.605,0.764,0.480
BPIC_18_P,0.264,0.418,0.316,0.414,0.712,0.444
BPIC_20_DD,0.175,0.395,0.395,0.481,0.882,0.882
BPIC_20_ID,0.205,0.422,0.435,0.492,0.815,0.836
BPIC_20_PTC,0.190,0.397,0.446,0.370,0.780,0.834
BPIC_20_RFP,0.147,0.376,0.384,0.456,0.865,0.868
BPIC_20_TPD,0.146,0.367,0.375,0.471,0.756,0.777
Helpdesk,0.202,0.262,0.254,0.753,0.810,0.812
Sepsis,0.432,0.428,0.427,0.593,0.588,0.573
Traffic_Fines,0.550,0.563,0.538,0.583,0.570,0.584
