dataset_name,"('macro_f1', 'word2vec_lstm')","('macro_f1', 'one_hot_lstm')","('macro_f1', 'word2vec_transformer')","('macro_f1', 'one_hot_transformer')","('accuracy', 'word2vec_lstm')","('accuracy', 'one_hot_lstm')","('accuracy', 'word2vec_transformer')","('accuracy', 'one_hot_transformer')"
BPIC_12,0.606,0.610,0.587,0.603,0.836,0.836,0.817,0.829
BPIC_13_C,0.418,0.318,0.314,0.303,0.514,0.485,0.483,0.463
BPIC_13_I,0.432,0.419,0.350,0.413,0.645,0.666,0.616,0.660
BPIC_15_1,0.183,0.165,0.116,0.180,0.395,0.363,0.279,0.354
BPIC_18_C,0.475,0.434,0.473,0.405,0.830,0.747,0.829,0.715
BPIC_18_G,0.332,0.381,0.346,0.219,0.663,0.764,0.718,0.477
BPIC_18_P,0.412,0.418,0.423,0.429,0.694,0.712,0.713,0.717
BPIC_20_DD,0.400,0.395,0.394,0.378,0.883,0.882,0.883,0.882
BPIC_20_ID,0.433,0.422,0.432,0.441,0.831,0.815,0.834,0.819
BPIC_20_PTC,0.358,0.397,0.354,0.363,0.775,0.780,0.770,0.782
BPIC_20_RFP,0.400,0.376,0.381,0.373,0.860,0.865,0.877,0.866
BPIC_20_TPD,0.366,0.367,0.357,0.347,0.739,0.756,0.732,0.738
Helpdesk,0.241,0.262,0.220,0.221,0.793,0.810,0.793,0.806
Sepsis,0.424,0.428,0.292,0.395,0.582,0.588,0.467,0.607
Traffic_Fines,0.575,0.563,0.530,0.537,0.575,0.570,0.559,0.563
