case_id,outcome
request for payment 73550,0
request for payment 73552,0
request for payment 76316,1
request for payment 73536,0
request for payment 185372,0
request for payment 76195,1
request for payment 73737,1
request for payment 77107,1
request for payment 185391,1
request for payment 76211,1
request for payment 76213,1
request for payment 77877,1
request for payment 185377,1
request for payment 185342,1
request for payment 76396,1
request for payment 73039,1
request for payment 76424,1
request for payment 73258,1
request for payment 76579,1
request for payment 185354,1
request for payment 74097,1
request for payment 72603,1
request for payment 77902,1
request for payment 73897,1
request for payment 76930,1
request for payment 76934,1
request for payment 76932,1
request for payment 76936,1
request for payment 72937,1
request for payment 72939,0
request for payment 76710,1
request for payment 76712,1
request for payment 74133,1
request for payment 76972,1
request for payment 73932,1
request for payment 73955,1
request for payment 185385,1
request for payment 76613,0
request for payment 76622,1
request for payment 76250,1
request for payment 76252,1
request for payment 76248,1
request for payment 75827,1
request for payment 75830,1
request for payment 74504,1
request for payment 74521,1
request for payment 74519,1
request for payment 76648,0
request for payment 76650,1
request for payment 74547,1
request for payment 74020,1
request for payment 74017,1
request for payment 75931,1
request for payment 73308,1
request for payment 73190,1
request for payment 73192,1
request for payment 75959,1
request for payment 75961,1
request for payment 73216,1
request for payment 77824,1
request for payment 77284,1
request for payment 77286,0
request for payment 74581,1
request for payment 74579,1
request for payment 73444,1
request for payment 74209,1
request for payment 76758,1
request for payment 74846,1
request for payment 74876,1
request for payment 75369,1
request for payment 75241,1
request for payment 74388,1
request for payment 72154,1
request for payment 72156,1
request for payment 73337,1
request for payment 73339,1
request for payment 185346,1
request for payment 72553,1
request for payment 76484,0
request for payment 76482,0
request for payment 74724,1
request for payment 73484,1
request for payment 75387,1
request for payment 75389,1
request for payment 74438,1
request for payment 74420,1
request for payment 74417,1
request for payment 185340,0
request for payment 74906,1
request for payment 74454,1
request for payment 74947,1
request for payment 77075,1
request for payment 77073,1
request for payment 71975,1
request for payment 71973,1
request for payment 71978,1
request for payment 76693,1
request for payment 73510,0
request for payment 72009,1
request for payment 72006,1
