case_id,outcome
Case 1,Closed
Case 10,Closed
Case 100,Closed
Case 1000,Closed
Case 1001,Closed
Case 1002,Closed
Case 1003,Closed
Case 1004,Closed
Case 1005,Closed
Case 1006,Closed
Case 1007,Closed
Case 1008,Closed
Case 1009,Closed
Case 101,Closed
Case 1010,Closed
Case 1011,Closed
Case 1012,Closed
Case 1013,Closed
Case 1014,Closed
Case 1015,Closed
Case 1016,Closed
Case 1017,Closed
Case 1018,Closed
Case 1019,Closed
Case 102,Closed
Case 1020,Closed
Case 1021,Closed
Case 1022,Closed
Case 1023,Closed
Case 1024,Closed
Case 1025,Closed
Case 1026,Closed
Case 1027,Closed
Case 1028,Closed
Case 1029,Closed
Case 103,Closed
Case 1030,Closed
Case 1031,Closed
Case 1032,Closed
Case 1033,Closed
Case 1034,Closed
Case 1035,Closed
Case 1036,Closed
Case 1037,Closed
Case 1038,Closed
Case 1039,Closed
Case 104,Closed
Case 1040,Closed
Case 1041,Closed
Case 1042,Closed
Case 1043,Closed
Case 1044,Closed
Case 1045,Closed
Case 1046,Closed
Case 1047,Closed
Case 1048,Closed
Case 1049,Closed
Case 105,Closed
Case 1050,Closed
Case 1051,Closed
Case 1052,Closed
Case 1053,Closed
Case 1054,Closed
Case 1055,Closed
Case 1056,Closed
Case 1057,Closed
Case 1058,Closed
Case 1059,Closed
Case 106,Closed
Case 1060,Closed
Case 1061,Closed
Case 1062,Closed
Case 1063,Closed
Case 1064,Closed
Case 1065,Closed
Case 1066,Closed
Case 1067,Closed
Case 1068,Closed
Case 1069,Closed
Case 107,Closed
Case 1070,Closed
Case 1071,Closed
Case 1072,Closed
Case 1073,Closed
Case 1074,Closed
Case 1075,Closed
Case 1076,Closed
Case 1077,Closed
Case 1078,Closed
Case 1079,Closed
Case 108,Closed
Case 1080,Closed
Case 1081,Closed
Case 1082,Closed
Case 1083,Closed
Case 1084,Closed
Case 1085,Closed
Case 1086,Closed
Case 1087,Closed
Case 1088,Closed
Case 1089,Closed
Case 109,Closed
Case 1090,Closed
Case 1091,Closed
Case 1092,Closed
Case 1093,Closed
Case 1094,Closed
Case 1095,Closed
Case 1096,Closed
Case 1097,Closed
Case 1098,Closed
Case 1099,Closed
Case 11,Closed
Case 110,Closed
Case 1100,Closed
Case 1101,Closed
Case 1102,Closed
Case 1103,Closed
Case 1104,Closed
Case 1105,Closed
Case 1106,Closed
Case 1107,Closed
Case 1108,Closed
Case 1109,Closed
Case 111,Closed
Case 1110,Closed
Case 1111,Closed
Case 1112,Closed
Case 1113,Closed
Case 1114,Closed
Case 1115,Closed
Case 1116,Closed
Case 1117,Closed
Case 1118,Closed
Case 1119,Closed
Case 112,Closed
Case 1120,Closed
Case 1121,Closed
Case 1122,Closed
Case 1123,Closed
Case 1124,Closed
Case 1125,Closed
Case 1126,Closed
Case 1127,Closed
Case 1128,Closed
Case 1129,Closed
Case 113,Closed
Case 1130,Closed
Case 1131,Closed
Case 1132,Closed
Case 1133,Closed
Case 1134,Closed
Case 1135,Closed
Case 1136,Closed
Case 1137,Closed
Case 1138,Closed
Case 1139,Closed
Case 114,Closed
Case 1140,Closed
Case 1141,Closed
Case 1142,Closed
Case 1143,Closed
Case 1144,Closed
Case 1145,Closed
Case 1146,Closed
Case 1147,Closed
Case 1148,Closed
Case 1149,Closed
Case 115,Closed
Case 1150,Closed
Case 1151,Closed
Case 1152,Closed
Case 1153,Closed
Case 1154,Closed
Case 1155,Closed
Case 1156,Closed
Case 1157,Closed
Case 1158,Closed
Case 1159,Closed
Case 116,Closed
Case 1160,Closed
Case 1161,Closed
Case 1162,Closed
Case 1163,Closed
Case 1164,Closed
Case 1165,Closed
Case 1166,Closed
Case 1167,Closed
Case 1168,Closed
Case 1169,Closed
Case 117,Closed
Case 1170,Closed
Case 1171,Closed
Case 1172,Closed
Case 1173,Closed
Case 1174,Closed
Case 1175,Closed
Case 1176,Closed
Case 1177,Closed
Case 1178,Closed
Case 1179,Closed
Case 118,Closed
Case 1180,Closed
Case 1181,Closed
Case 1182,Closed
Case 1183,Closed
Case 1184,Closed
Case 1185,Closed
Case 1186,Closed
Case 1187,Closed
Case 1188,Closed
Case 1189,Closed
Case 119,Closed
Case 1190,Closed
Case 1191,Closed
Case 1192,Closed
Case 1193,Closed
Case 1194,Closed
Case 1195,Closed
Case 1196,Closed
Case 1197,Closed
Case 1198,Closed
Case 1199,Closed
Case 12,Closed
Case 120,Closed
Case 1200,Closed
Case 1201,Closed
Case 1202,Closed
Case 1203,Closed
Case 1204,Closed
Case 1205,Closed
Case 1206,Closed
Case 1207,Closed
Case 1208,Closed
Case 1209,Closed
Case 121,Closed
Case 1210,Closed
Case 1211,Closed
Case 1212,Closed
Case 1213,Closed
Case 1214,Closed
Case 1215,Closed
Case 1216,Closed
Case 1217,Closed
Case 1218,Closed
Case 1219,Closed
Case 122,Closed
Case 1220,Closed
Case 1221,Closed
Case 1222,Closed
Case 1223,Closed
Case 1224,Closed
Case 1225,Closed
Case 1226,Closed
Case 1227,Closed
Case 1228,Closed
Case 1229,Closed
Case 123,Closed
Case 1230,Closed
Case 1231,Closed
Case 1232,Closed
Case 1233,Closed
Case 1234,Closed
Case 1235,Closed
Case 1236,Closed
Case 1237,Closed
Case 1238,Closed
Case 1239,Closed
Case 124,Closed
Case 1240,Closed
Case 1241,Closed
Case 1242,Closed
Case 1243,Closed
Case 1244,Closed
Case 1245,Closed
Case 1246,Closed
Case 1247,Closed
Case 1248,Closed
Case 1249,Other
Case 125,Closed
Case 1250,Closed
Case 1251,Closed
Case 1252,Closed
Case 1253,Closed
Case 1254,Closed
Case 1255,Closed
Case 1256,Closed
Case 1257,Closed
Case 1258,Closed
Case 1259,Closed
Case 126,Closed
Case 1260,Closed
Case 1261,Closed
Case 1262,Closed
Case 1263,Closed
Case 1264,Closed
Case 1265,Closed
Case 1266,Closed
Case 1267,Closed
Case 1268,Closed
Case 1269,Closed
Case 127,Closed
Case 1270,Closed
Case 1271,Closed
Case 1272,Closed
Case 1273,Closed
Case 1274,Closed
Case 1275,Closed
Case 1276,Closed
Case 1277,Closed
Case 1278,Closed
Case 1279,Closed
Case 128,Closed
Case 1280,Closed
Case 1281,Closed
