case_id,outcome
4167020,1
4168025,1
4193601,1
4214778,1
4235583,1
4241127,1
4243680,1
4246363,1
4248179,1
4258780,1
4271177,1
4280743,1
4282897,1
4284682,1
4285017,1
4286993,1
4289494,1
4291537,1
4304513,1
4312455,1
4312831,1
4314437,1
4317117,1
4320251,1
4328769,1
4329791,1
4331867,1
4335599,1
4340572,1
4341645,1
4343026,1
4351487,1
4352189,1
4371390,1
4387411,1
4389404,1
4397805,1
4406717,1
4415778,1
4422507,1
4425791,1
4427303,1
4429517,1
4429951,1
4447924,1
4452257,1
4454861,1
4457332,1
4458691,1
4459815,1
4462763,1
4463384,1
4464597,1
4465383,1
4467000,1
4467835,1
4470381,1
4470728,1
4471082,1
4471426,1
4473109,1
4474499,1
4474832,1
4475637,1
4477194,1
4480263,1
4480589,1
4481966,1
4482491,1
4509883,1
4518020,1
4519177,1
4519571,1
4522951,1
4523877,1
4532472,1
4538743,1
4544774,1
4560274,1
4561511,1
4569922,1
4574223,1
4578191,1
4581569,1
4581879,1
4633971,1
4646380,1
4648908,1
4653307,1
4669973,1
4684192,1
4685397,1
4687153,1
4702241,1
4703337,1
4710317,1
4713264,1
4719878,1
4720579,1
4720588,1
4741289,1
4741796,1
4775806,1
4777305,1
4800472,1
4805262,1
4826410,1
4845163,1
4846015,1
4851383,1
4852264,1
4874050,1
4879611,1
4880211,1
4885164,1
4885193,1
4885468,1
4895319,1
4912431,1
4921759,1
4923183,1
4923446,1
4928889,1
4932400,1
4948138,1
4949352,1
4949763,1
4950187,1
4959169,1
4968228,1
4985689,1
4987083,1
4987737,1
4988106,1
4988561,1
4988864,1
5003943,1
5006883,1
5013889,1
5037663,1
5040783,1
5041524,1
5041901,1
5042363,1
5042728,1
5043444,1
5045082,1
5046047,1
5050244,1
5051753,1
5052036,1
5052932,1
5053668,1
5053977,1
5054894,1
5055298,1
5055827,1
5056306,1
5062573,1
5063340,1
5064471,1
5064805,1
5068764,1
5070321,1
5078863,1
5081623,1
5087929,1
5092833,1
5104672,1
5109455,1
5111163,1
5117090,1
5119168,1
5120602,0
5121393,1
5124583,1
5124978,1
5127157,1
5131309,1
5151769,1
5154264,1
5156963,1
5159183,1
5177204,1
5183641,1
5185803,1
5187024,1
5192098,1
5193001,1
5195049,1
5196743,1
5208104,1
5213106,1
5226176,1
5226705,1
5231352,1
5232749,1
5234097,1
5238596,1
5242064,1
5247271,1
5247805,1
5252177,1
5253529,1
5254661,1
5257999,1
5265482,1
5266526,1
5268639,1
5269966,1
5276403,1
5283147,1
5285713,1
5288776,1
5296761,1
5297533,1
5298547,1
5298898,1
5304519,1
5305802,1
5307440,1
5312779,1
5320697,1
5330726,1
5331086,1
5333280,1
5342481,1
5354155,1
5357663,1
5359494,1
5360800,1
5363140,1
5365559,1
5366222,1
5369495,1
5377212,1
5382397,1
5385888,1
5388182,1
5390977,1
5394975,1
5405431,1
5410273,1
5411996,1
5419474,1
5421204,1
5426048,0
5428327,1
5431467,1
5433781,1
5435933,1
5437407,1
5438300,1
5441153,1
5442893,1
5454228,1
5455583,1
5456456,1
5458734,1
5461265,1
5462778,1
5464781,1
5465699,1
