case_id,outcome
request for payment 148214,1
request for payment 149290,1
request for payment 149216,1
request for payment 147886,1
request for payment 149145,1
request for payment 147597,1
request for payment 149369,1
request for payment 148223,1
request for payment 149830,1
request for payment 148629,1
request for payment 147894,1
request for payment 147898,1
request for payment 148633,1
request for payment 149908,1
request for payment 149294,1
request for payment 149913,1
request for payment 149223,1
request for payment 148883,1
request for payment 149158,1
request for payment 148749,0
request for payment 148504,1
request for payment 147938,1
request for payment 149660,1
request for payment 147746,1
request for payment 149154,1
request for payment 147902,1
request for payment 149163,0
request for payment 148147,1
request for payment 147906,1
request for payment 148887,1
request for payment 148433,1
request for payment 147919,1
request for payment 147911,1
request for payment 149834,1
request for payment 147915,1
request for payment 147942,1
request for payment 147750,1
request for payment 148228,1
request for payment 147754,1
request for payment 149204,1
request for payment 148438,0
request for payment 148757,0
request for payment 148446,1
request for payment 147759,1
request for payment 148394,1
request for payment 147763,1
request for payment 147982,1
request for payment 148765,1
request for payment 148232,1
request for payment 147768,1
request for payment 149373,1
request for payment 148509,1
request for payment 148152,1
request for payment 147772,1
request for payment 149484,1
request for payment 149838,1
request for payment 149455,1
request for payment 148398,1
request for payment 148157,1
request for payment 148553,1
request for payment 147986,1
request for payment 149385,1
request for payment 148402,1
request for payment 149665,0
request for payment 149298,1
request for payment 148769,1
request for payment 149389,1
request for payment 148557,1
request for payment 148561,1
request for payment 148566,1
request for payment 149227,1
request for payment 147549,1
request for payment 149842,1
request for payment 147554,1
request for payment 149393,1
request for payment 149669,1
request for payment 148236,0
request for payment 148165,0
request for payment 149208,1
request for payment 147841,1
request for payment 148773,1
request for payment 149516,1
request for payment 149231,0
request for payment 149302,1
request for payment 149236,1
request for payment 149241,1
request for payment 147529,1
request for payment 148452,0
request for payment 148570,1
request for payment 148170,1
request for payment 147561,1
request for payment 148487,1
request for payment 148574,1
request for payment 149846,1
request for payment 149850,1
request for payment 149854,1
request for payment 149459,1
request for payment 148406,1
request for payment 149859,1
request for payment 149397,1
request for payment 147990,1
request for payment 149377,1
request for payment 147565,1
request for payment 149306,1
request for payment 148240,1
request for payment 147570,1
request for payment 149245,1
request for payment 147947,1
request for payment 149212,1
request for payment 149489,1
request for payment 148456,1
request for payment 147994,1
request for payment 147998,1
request for payment 148002,1
request for payment 148007,1
request for payment 147952,1
request for payment 147957,1
request for payment 148598,1
request for payment 149402,1
request for payment 148414,0
request for payment 148891,0
request for payment 148011,0
request for payment 148578,0
request for payment 148603,1
request for payment 148018,1
request for payment 148586,1
request for payment 149250,1
request for payment 148777,1
request for payment 147846,1
request for payment 149381,1
request for payment 148899,1
request for payment 147534,1
request for payment 148022,1
request for payment 148908,1
request for payment 148460,1
request for payment 147575,1
request for payment 149674,1
request for payment 147961,1
request for payment 148607,1
request for payment 148092,1
request for payment 148175,1
request for payment 148612,1
request for payment 148590,0
request for payment 148617,1
request for payment 147539,1
request for payment 149067,1
request for payment 148096,1
request for payment 149679,1
request for payment 148514,1
request for payment 148244,1
request for payment 149311,1
request for payment 147850,1
request for payment 148420,0
request for payment 148465,1
request for payment 148519,0
request for payment 148100,1
request for payment 147966,1
request for payment 148594,1
request for payment 149463,0
request for payment 148469,1
request for payment 148675,1
request for payment 148288,1
request for payment 149255,1
request for payment 148293,1
request for payment 149073,1
request for payment 148679,1
request for payment 148424,1
request for payment 148104,1
request for payment 147974,1
request for payment 148685,1
request for payment 147978,1
request for payment 149083,0
request for payment 149407,1
request for payment 149558,1
request for payment 149631,0
request for payment 148109,0
request for payment 149494,1
request for payment 148524,1
request for payment 148474,0
request for payment 149260,0
request for payment 149562,0
request for payment 149088,0
request for payment 147580,1
request for payment 149090,1
request for payment 149095,1
request for payment 148975,1
request for payment 147923,1
request for payment 147928,1
request for payment 148113,0
request for payment 148115,1
request for payment 149100,1
request for payment 149262,1
request for payment 147932,1
request for payment 147586,1
request for payment 148298,1
request for payment 149104,1
request for payment 147602,1
request for payment 149326,1
request for payment 148429,1
request for payment 149108,1
request for payment 149498,1
request for payment 148042,0
request for payment 148046,1
request for payment 148050,1
request for payment 148689,1
request for payment 149266,1
request for payment 149330,1
request for payment 148693,1
request for payment 149272,1
request for payment 148532,1
request for payment 148055,1
request for payment 148492,1
request for payment 149411,1
request for payment 148698,1
request for payment 149334,1
request for payment 148302,1
request for payment 148307,1
request for payment 148312,1
request for payment 148810,1
request for payment 148814,1
request for payment 149339,1
request for payment 148179,1
request for payment 148818,1
request for payment 148352,1
request for payment 149126,1
request for payment 149343,1
request for payment 149320,1
request for payment 149425,1
request for payment 148822,1
request for payment 148827,1
request for payment 147606,1
request for payment 148183,1
request for payment 148356,0
request for payment 148496,1
request for payment 148500,1
request for payment 148832,1
request for payment 148837,1
request for payment 147544,1
request for payment 149415,0
request for payment 148842,1
request for payment 148361,1
request for payment 148366,1
request for payment 149130,1
request for payment 149430,1
request for payment 149687,1
request for payment 149503,1
request for payment 149692,1
request for payment 149601,1
request for payment 147610,1
request for payment 148847,1
request for payment 148187,1
request for payment 148371,1
request for payment 148375,1
request for payment 148851,1
request for payment 148980,1
