case_id,outcome
3364103,1
3395763,1
3398124,1
3406163,1
3407629,1
3414969,1
3415943,1
3424995,1
3427711,1
3431247,1
3435055,1
3436563,1
3436986,1
3439303,1
3441204,1
3442235,1
3445023,1
3448516,1
3450321,1
3450810,1
3453486,1
3453943,1
3454963,1
3455394,1
3458663,1
3462724,1
3464870,1
3465697,1
3466709,1
3472668,1
3486500,1
3490484,1
3492143,1
3502222,1
3504245,1
3506645,1
3507637,1
3508379,1
3509444,1
3510903,1
3511988,1
3514757,1
3519643,1
3530626,1
3542183,1
3550046,1
3553172,1
3554195,1
3555963,1
3561014,1
3563152,1
3564843,1
3565523,1
3569051,1
3579547,1
3585493,1
3587092,1
3589696,1
3590695,1
3593194,1
3613817,1
3614350,1
3615372,1
3617703,1
3618270,1
3620744,1
3621780,1
3627403,1
3630623,1
3634049,1
3634443,1
3634775,1
3635905,1
3636123,1
3638948,1
3639362,1
3640215,1
3640683,1
3645266,1
3647265,1
3647284,1
3649342,1
3652884,1
3653283,1
3653710,1
3657681,1
3657980,1
3658387,1
3663865,1
3673477,1
3676707,1
3682389,1
3682830,1
3687963,1
3689558,1
3690929,1
3695023,1
3702003,1
3705608,1
3713192,1
3719473,1
3727566,1
3774043,1
3780299,1
3791537,1
3794788,1
3798104,1
3804756,1
3807446,1
3826428,1
3828607,1
3832835,1
3833619,1
3843230,1
3850550,1
3854588,1
3864334,1
3864970,1
3866724,1
3867407,1
3873589,1
3876223,1
3879296,1
3880829,1
3882484,1
3883159,1
3884390,1
3890196,1
3890269,1
3892486,1
3893215,1
3893423,1
3895387,1
3896630,1
3909603,1
3914623,1
3916426,1
3927624,1
3932530,1
3934922,1
3939690,1
3943340,1
3953611,1
3959398,1
3960047,1
3961240,1
3966908,1
3966927,1
3967739,1
3975173,1
3988064,1
4004624,1
4005071,1
4009123,1
4010763,1
4012060,1
4012132,1
4018534,1
4020143,1
4020737,1
4027268,1
4028526,1
4029095,1
4029406,1
4034837,1
4037002,1
4044667,1
4045203,1
4052563,1
4057755,1
4059845,1
4060832,1
4065351,1
4071063,1
4074343,1
4077555,1
4078543,1
4097163,1
4101627,1
4102350,1
4103373,1
4105164,1
4119369,1
4122104,1
4123120,1
4125133,1
4126489,1
4128117,1
4128135,1
4132423,1
4139863,1
4142603,1
4144964,1
4145890,1
4146901,1
4150703,1
4152499,1
4152542,1
4155771,1
4157527,1
4160044,1
4170847,1
4171558,1
4172924,1
4176466,1
4182988,1
4184521,1
4192582,1
4195110,1
4197174,1
4197976,1
4199882,1
4201883,1
4204547,1
4209376,1
4209846,1
4210224,1
4210673,1
4215170,1
4216603,1
4218818,1
4220485,1
4221459,1
4221884,1
4225147,1
4226776,1
4229101,1
4231533,1
4235711,1
4259970,1
4263007,1
4270147,1
4279696,1
4283218,1
4283835,1
4291555,1
4291981,1
4293305,1
4300565,1
4324772,1
4333163,1
4334151,1
4337635,1
4347559,1
4347763,1
4351870,1
4372794,1
4374511,1
4377919,1
4380285,1
4380580,1
4384961,1
4388743,1
4403967,1
4405033,1
4405480,1
4423690,1
4442285,1
4448380,1
