case_id,outcome
1-364285768,Resolved
1-467153946,Resolved
1-503573772,Resolved
1-504538555,Resolved
1-506071646,Resolved
1-512795200,Resolved
1-516553982,Resolved
1-522528740,Resolved
1-523391859,Resolved
1-529067006,Resolved
1-529096847,Resolved
1-530458987,Resolved
1-530772502,Resolved
1-530838254,Resolved
1-532109338,Resolved
1-536444735,Resolved
1-536481337,Resolved
1-537219938,Resolved
1-540390551,Resolved
1-541468268,Resolved
1-543317665,Resolved
1-543979253,Resolved
1-544969832,Resolved
1-544976636,Resolved
1-550213097,Resolved
1-557297151,Resolved
1-559795575,Resolved
1-565045794,Resolved
1-567358917,Resolved
1-577292898,Resolved
1-578864726,Resolved
1-580893958,Resolved
1-580987781,Resolved
1-583200733,Other
1-587101946,Resolved
1-593737913,Resolved
1-594260021,Resolved
1-597436480,Resolved
1-601328051,Resolved
1-603556351,Resolved
1-603749197,Resolved
1-604144478,Resolved
1-605313141,Resolved
1-605956457,Resolved
1-606902814,Resolved
1-609835209,Resolved
1-611261188,Resolved
1-613379581,Resolved
1-614948909,Resolved
1-617858557,Resolved
1-618854217,Resolved
1-619069761,Resolved
1-620611187,Resolved
1-620858291,Resolved
1-621825480,Resolved
1-623778166,Resolved
1-626766981,Resolved
1-627819166,Resolved
1-627973205,Resolved
1-629364071,Resolved
1-629883996,Resolved
1-630181491,Resolved
1-632620937,Resolved
1-634340171,Resolved
1-634738521,Resolved
1-635268712,Resolved
1-635375181,Resolved
1-636928149,Resolved
1-637842042,Resolved
1-638018481,Resolved
1-638289351,Resolved
1-638742591,Resolved
1-638841644,Resolved
1-638945511,Resolved
1-642373523,Resolved
1-642402641,Resolved
1-642411971,Resolved
1-642714990,Resolved
1-642761396,Resolved
1-642781041,Resolved
1-643338463,Resolved
1-643546500,Resolved
1-643684191,Resolved
1-643733486,Resolved
1-644761840,Resolved
1-647788578,Resolved
1-647953636,Resolved
1-648471635,Resolved
1-648654669,Resolved
1-649830550,Resolved
1-649950870,Resolved
1-650013051,Resolved
1-651196130,Resolved
1-651324866,Resolved
1-652256138,Resolved
1-652468131,Resolved
1-652924814,Resolved
1-652947231,Resolved
1-653391886,Resolved
1-654423931,Resolved
1-655021441,Resolved
1-655281402,Resolved
1-656241183,Resolved
1-656373348,Resolved
1-656450664,Resolved
1-657323705,Resolved
1-657893589,Resolved
1-657900377,Resolved
1-658045761,Resolved
1-658345511,Resolved
1-658515933,Resolved
1-658538636,Resolved
1-659129745,Resolved
1-659713703,Resolved
1-660051308,Resolved
1-660218981,Resolved
1-660730501,Resolved
1-660865454,Resolved
1-660915327,Resolved
1-665922195,Resolved
1-673825643,Resolved
1-682281772,Resolved
1-683319231,Resolved
1-683762637,Resolved
1-684012815,Resolved
1-684695843,Resolved
1-685098751,Resolved
1-685155470,Resolved
1-686398767,Resolved
1-686497432,Resolved
1-686580161,Resolved
1-686609791,Resolved
1-686885675,Resolved
1-687082195,Resolved
1-687085471,Resolved
1-687329729,Resolved
1-687521104,Resolved
1-687544011,Resolved
1-687638428,Resolved
1-687647619,Resolved
1-687710013,Resolved
1-688278051,Resolved
1-688624453,Resolved
1-688689511,Resolved
1-688696731,Resolved
1-689206959,Resolved
1-689461262,Resolved
1-689501709,Resolved
1-690238688,Resolved
1-690422411,Resolved
1-690436171,Resolved
1-690839783,Resolved
1-691049627,Resolved
1-691129791,Resolved
1-691759626,Resolved
1-691782323,Resolved
1-691794481,Resolved
1-691811604,Resolved
1-691832279,Resolved
1-691950241,Resolved
1-691971107,Resolved
1-692009261,Resolved
1-692067345,Resolved
1-692755228,Resolved
1-692758611,Resolved
1-692758994,Resolved
1-692918254,Resolved
1-693021183,Resolved
1-693200675,Resolved
1-693253181,Resolved
1-693258975,Resolved
1-693300691,Resolved
1-693352046,Resolved
1-693412654,Resolved
1-693587250,Resolved
1-693822171,Resolved
1-693837467,Resolved
1-694035053,Resolved
1-694236018,Resolved
1-694266600,Resolved
1-694274811,Resolved
1-694300980,Resolved
1-694339964,Resolved
1-694346169,Resolved
1-694375168,Resolved
1-694457714,Resolved
1-694782353,Resolved
1-694796871,Resolved
1-694844381,Resolved
1-694845331,Resolved
1-694868667,Resolved
1-694899341,Resolved
1-694975897,Resolved
1-695147297,Resolved
1-695221831,Resolved
1-695298616,Resolved
1-695360832,Resolved
1-695452478,Resolved
1-695486451,Resolved
1-695870591,Resolved
1-695872361,Resolved
1-696080795,Resolved
1-696101645,Resolved
1-696163170,Resolved
1-696361691,Resolved
1-696484951,Resolved
1-696831586,Resolved
1-696861441,Resolved
1-696882469,Resolved
1-696894381,Resolved
1-696911694,Resolved
1-696915401,Resolved
1-696981592,Resolved
1-697462851,Resolved
1-697478298,Resolved
1-697528961,Resolved
1-697746161,Resolved
1-697751037,Resolved
1-697774726,Resolved
1-697777158,Resolved
1-697896972,Resolved
1-697955020,Resolved
1-698029651,Resolved
1-698029851,Resolved
1-698036851,Resolved
1-698065363,Resolved
1-698350971,Resolved
1-698400941,Resolved
1-698487635,Resolved
1-698555281,Resolved
1-698572466,Resolved
1-698843072,Resolved
1-698990450,Resolved
1-699016718,Resolved
1-699103686,Resolved
1-699262145,Resolved
1-699297808,Resolved
1-699344291,Resolved
1-699545679,Resolved
1-699557832,Resolved
1-699617036,Resolved
1-699655497,Resolved
1-699703931,Resolved
1-699719677,Resolved
1-699750568,Resolved
1-699989926,Resolved
1-700135371,Resolved
1-700161985,Resolved
1-700205396,Resolved
1-700245581,Resolved
1-700300604,Resolved
1-700356558,Resolved
1-700370143,Resolved
1-700427997,Resolved
1-700431220,Resolved
1-700466198,Resolved
1-700466740,Resolved
1-700563427,Resolved
1-700591261,Resolved
1-700822736,Resolved
1-700826141,Resolved
1-700955144,Resolved
1-701147913,Resolved
1-701284355,Resolved
1-701412801,Resolved
1-701488609,Resolved
1-701567557,Resolved
1-701687914,Resolved
1-701688007,Resolved
1-701799752,Resolved
1-701820421,Resolved
1-702316147,Resolved
1-702542377,Resolved
1-702551585,Resolved
1-702586831,Resolved
1-702667331,Resolved
1-703146498,Resolved
1-703263656,Resolved
1-703279569,Resolved
1-703368981,Resolved
1-703430111,Resolved
1-703433841,Resolved
1-703547921,Resolved
1-703888972,Resolved
1-703940589,Resolved
1-703995711,Resolved
1-703999194,Resolved
1-704030543,Resolved
1-704051851,Resolved
1-704096711,Resolved
1-704155821,Resolved
1-704163965,Resolved
1-704194471,Resolved
1-704218008,Resolved
1-704223291,Resolved
1-704275949,Resolved
1-704682611,Resolved
1-704747578,Resolved
1-704804641,Resolved
1-704849848,Resolved
1-704868231,Resolved
1-704940021,Resolved
1-704946941,Resolved
1-704985732,Resolved
1-705039067,Resolved
1-705039821,Resolved
1-705050337,Resolved
1-705084201,Resolved
1-705164933,Resolved
1-705201889,Resolved
1-705739949,Resolved
1-705770183,Resolved
1-705791051,Resolved
1-705791341,Resolved
1-705845431,Resolved
1-705847078,Resolved
1-705847232,Resolved
1-705895959,Resolved
1-705901284,Resolved
1-705937016,Resolved
1-705976449,Resolved
1-705991296,Resolved
1-706022221,Resolved
1-706095828,Resolved
1-706148201,Resolved
1-706158289,Resolved
1-706221211,Resolved
1-706221681,Resolved
1-706532382,Resolved
1-706532431,Resolved
1-706675514,Resolved
1-706700376,Resolved
1-706844801,Resolved
1-706845546,Resolved
1-706880563,Resolved
1-706983808,Resolved
1-706996552,Resolved
1-707167142,Resolved
1-707196413,Resolved
1-707214451,Resolved
1-707231563,Resolved
1-707253770,Resolved
1-707295006,Resolved
1-707613853,Resolved
1-707644921,Resolved
1-707689061,Resolved
1-707771775,Resolved
1-707802351,Resolved
1-707807221,Resolved
1-707854303,Resolved
1-707933295,Resolved
1-707939234,Resolved
1-707991342,Resolved
1-708029447,Resolved
1-708059841,Resolved
1-708116781,Resolved
1-708116786,Resolved
1-708177338,Resolved
1-708505881,Resolved
1-708524564,Resolved
1-708526701,Resolved
1-708529881,Resolved
1-708573022,Resolved
1-708577179,Resolved
1-708587941,Resolved
1-708588651,Resolved
1-708605704,Resolved
1-708618611,Resolved
1-708621071,Resolved
1-708621211,Resolved
1-708621216,Resolved
1-708625573,Resolved
1-708654057,Resolved
1-708654206,Resolved
1-708654452,Resolved
1-708674093,Resolved
1-708824660,Resolved
1-708840091,Resolved
1-708840281,Resolved
1-708840891,Resolved
1-708879965,Resolved
1-708954745,Resolved
1-709023396,Resolved
1-709033790,Resolved
